time,open,high,low,close,Volume
2022-10-14T23:30:00+03:30,3585.63,3585.63,3583.07,3583.07,NaN
2022-10-17T17:00:00+03:30,3641.41,3683.07,3641.41,3668.62,NaN
2022-10-17T17:30:00+03:30,3668.77,3689.73,3667.19,3677.78,NaN
2022-10-17T18:00:00+03:30,3677.75,3681.19,3659.95,3664.6,NaN
2022-10-17T18:30:00+03:30,3664.68,3674.34,3657.48,3674.15,NaN
2022-10-17T19:00:00+03:30,3674.13,3685.02,3671.91,3679.87,NaN
2022-10-17T19:30:00+03:30,3679.84,3686.2,3672.91,3679.23,NaN
2022-10-17T20:00:00+03:30,3679.17,3684.13,3670.65,3676,NaN
2022-10-17T20:30:00+03:30,3675.91,3683.05,3670.78,3680.58,NaN
2022-10-17T21:00:00+03:30,3680.77,3686.98,3680.06,3684.55,NaN
2022-10-17T21:30:00+03:30,3684.57,3689.13,3673.57,3677.55,NaN
2022-10-17T22:00:00+03:30,3677.66,3683.94,3674.63,3678.65,NaN
2022-10-17T22:30:00+03:30,3678.69,3680.54,3673.16,3680.22,NaN
2022-10-17T23:00:00+03:30,3680.28,3686.3,3674.15,3678.4,NaN
2022-10-17T23:30:00+03:30,3678.79,3678.79,3677.95,3677.95,NaN
2022-10-18T17:00:00+03:30,3746.26,3762.79,3735.29,3740.65,NaN
2022-10-18T17:30:00+03:30,3741.12,3753.83,3730.13,3730.47,NaN
2022-10-18T18:00:00+03:30,3730.45,3735.15,3720.52,3726.44,NaN
2022-10-18T18:30:00+03:30,3726.24,3729.55,3692.19,3697.49,NaN
2022-10-18T19:00:00+03:30,3697.43,3703.69,3686.53,3703.14,NaN
2022-10-18T19:30:00+03:30,3703.05,3718.26,3696.99,3710.06,NaN
2022-10-18T20:00:00+03:30,3710.05,3724.53,3707.25,3715.6,NaN
2022-10-18T20:30:00+03:30,3715.48,3722.69,3703.35,3721.51,NaN
2022-10-18T21:00:00+03:30,3722.57,3733.86,3720.83,3731.12,NaN
2022-10-18T21:30:00+03:30,3730.97,3732.65,3721.56,3729.64,NaN
2022-10-18T22:00:00+03:30,3729.75,3729.88,3692.52,3704.93,NaN
2022-10-18T22:30:00+03:30,3704.94,3708.14,3694.89,3707.43,NaN
2022-10-18T23:00:00+03:30,3707.26,3722.41,3705.72,3721.8,NaN
2022-10-18T23:30:00+03:30,3721.68,3721.68,3719.98,3719.98,NaN
2022-10-19T17:00:00+03:30,3703.11,3718.96,3690.25,3696.56,NaN
2022-10-19T17:30:00+03:30,3696.43,3728.58,3693.64,3726.36,NaN
2022-10-19T18:00:00+03:30,3726.37,3728.58,3704.39,3707.27,NaN
2022-10-19T18:30:00+03:30,3707.28,3717.35,3703.26,3705.96,NaN
2022-10-19T19:00:00+03:30,3706.06,3713.55,3698.07,3708.1,NaN
2022-10-19T19:30:00+03:30,3708.16,3708.64,3691.26,3693,NaN
2022-10-19T20:00:00+03:30,3692.56,3699.48,3680,3682.86,NaN
2022-10-19T20:30:00+03:30,3682.83,3684.72,3666.51,3676.85,NaN
2022-10-19T21:00:00+03:30,3676.82,3680.14,3671.97,3680.05,NaN
2022-10-19T21:30:00+03:30,3680.02,3694.87,3677.04,3691.6,NaN
